stock symbol,market cap
TCEHY,USD 433.2 B
PTR,USD 150.7 B
KC,USD 1.2 B
ZNH,USD 15.3 B
ZME,USD 25.2 M
WDH,USD 571.5 M
TSM,USD 500.3 B
TCOM,USD 13.6 B
TAL,USD 2.0 B
SVA,USD 460.2 M
PDD,USD 52.9 B
NIO,USD 33.2 B
MF,USD 308.4 M
LNVGY,USD 12.5 B
LFC,USD 100.2 B
KRKR,USD 65.5 M
JOBS,USD 4.1 B
JKS,USD 2.4 B
JD,USD 85.7 B
IQ,USD 3.8 B
FUTU,USD 5.1 B
EDU,USD 2.1 B
CEA,USD 11.5 B
BILI,USD 9.2 B
BGNE,USD 21.4 B
BABA,USD 284.8 B
