stock symbol,market cap
TCEHY,USD 478.3 B
PTR,USD 150.7 B
KC,USD 1.2 B
ZNH,USD 15.3 B
ZME,USD 25.2 M
WDH,N/A
TSM,USD 500.3 B
TCOM,USD 13.6 B
TAL,USD 2.0 B
SVA,USD 460.2 M
PDD,USD 53.4 B
NIO,USD 33.2 B
MF,USD 308.4 M
LNVGY,N/A
LFC,USD 100.2 B
KRKR,USD 44.3 M
JOBS,USD 4.1 B
JKS,N/A
JD,USD 85.7 B
IQ,USD 3.8 B
FUTU,USD 5.1 B
EDU,USD 2.1 B
CEA,USD 11.9 B
BILI,N/A
BGNE,USD 21.4 B
BABA,N/A
